member_number_members_sa,id_membership_periods_sa,purchased_on_adjusted_mp,real_membership_types_sa,new_member_category_6_sa,membership_type_id_mp,starts_mp,ends_mp
443406915,4697450,"2024-05-19 00:00:00",one_day,"Bronze - $0",115,2024-05-19,2024-05-19
443534037,4694792,"2024-05-19 00:00:00",one_day,"Bronze - $0",115,2024-05-19,2024-05-19
443534037,4697321,"2024-05-19 00:00:00",one_day,"Bronze - $0",115,2024-05-19,2024-05-19
443559946,3957619,"2021-08-22 00:00:00",one_day,"One Day - $15",47,2021-08-22,2021-08-22
443559946,3982118,"2021-08-22 00:00:00",one_day,"One Day - $15",47,2021-08-22,2021-08-22
443559946,3957621,"2021-09-19 00:00:00",one_day,"One Day - $15",47,2021-09-19,2021-09-19
443559946,3982119,"2021-09-19 00:00:00",one_day,"One Day - $15",47,2021-09-19,2021-09-19
443738608,3958469,"2021-11-14 00:00:00",one_day,"One Day - $15",47,2021-11-14,2021-11-14
443738608,3982769,"2021-11-14 00:00:00",one_day,"One Day - $15",47,2021-11-14,2021-11-14
443738608,3958470,"2022-05-14 00:00:00",one_day,"One Day - $15",47,2022-05-14,2022-05-15
443738608,3982770,"2022-05-14 00:00:00",one_day,"One Day - $15",47,2022-05-14,2022-05-15
444199224,3958884,"2022-08-20 00:00:00",one_day,"One Day - $15",47,2022-08-20,2022-08-21
444199224,3983189,"2022-08-20 00:00:00",one_day,"One Day - $15",47,2022-08-20,2022-08-21
444365935,4539521,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
444365935,4544648,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
444669003,3897180,"2022-06-11 00:00:00",one_day,"One Day - $15",47,2022-06-11,2022-06-11
