member_number_members_sa,id_membership_periods_sa,purchased_on_adjusted_mp,real_membership_types_sa,new_member_category_6_sa,membership_type_id_mp,starts_mp,ends_mp
474358448,3981747,"2022-07-03 00:00:00",one_day,"One Day - $15",47,2022-07-03,2022-07-04
474563229,3522412,"2021-08-22 00:00:00",one_day,"One Day - $15",47,2021-08-22,2021-08-22
474563229,3957969,"2021-08-22 00:00:00",one_day,"One Day - $15",47,2021-08-22,2021-08-22
474563229,3982381,"2021-08-22 00:00:00",one_day,"One Day - $15",47,2021-08-22,2021-08-22
475068331,3957904,"2021-09-19 00:00:00",one_day,"One Day - $15",47,2021-09-19,2021-09-19
475068331,3982332,"2021-09-19 00:00:00",one_day,"One Day - $15",47,2021-09-19,2021-09-19
47557,4538970,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
47557,4548623,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
475747738,3956726,"2022-06-25 00:00:00",one_day,"One Day - $15",47,2022-06-25,2022-06-26
475747738,3967597,"2022-06-25 00:00:00",one_day,"One Day - $15",47,2022-06-25,2022-06-26
475766555,4459798,"2023-05-26 00:00:00",one_day,"One Day - $15",47,2023-05-26,2023-05-29
475766555,4460370,"2023-05-26 00:00:00",one_day,"One Day - $15",47,2023-05-26,2023-05-29
475777503,3957016,"2022-08-20 00:00:00",one_day,"One Day - $15",47,2022-08-20,2022-08-21
475777503,3981677,"2022-08-20 00:00:00",one_day,"One Day - $15",47,2022-08-20,2022-08-21
475786930,4539211,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
475786930,4548682,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
475932567,4694834,"2024-05-19 00:00:00",one_day,"Bronze - $0",115,2024-05-19,2024-05-19
475932567,4697363,"2024-05-19 00:00:00",one_day,"Bronze - $0",115,2024-05-19,2024-05-19
475948562,4539077,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
475948562,4541550,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
476166692,3957234,"2021-11-14 00:00:00",one_day,"One Day - $15",47,2021-11-14,2021-11-14
476166692,3981839,"2021-11-14 00:00:00",one_day,"One Day - $15",47,2021-11-14,2021-11-14
476218495,3148698,"2014-11-01 00:00:00",one_day,"One Day - $15",47,2014-11-01,2014-11-01
476218495,3603851,"2014-11-01 00:00:00",one_day,"One Day - $15",47,2014-11-01,2014-11-01
477051845,3733257,"2022-02-24 07:02:03",adult_annual,"1-Year $50",1,2023-02-24,2024-02-23
477051845,3733258,"2022-02-24 07:02:03",adult_annual,"1-Year $50",1,2023-02-24,2024-02-23
477559999,4694836,"2024-05-19 00:00:00",one_day,"Bronze - $0",115,2024-05-19,2024-05-19
477559999,4697365,"2024-05-19 00:00:00",one_day,"Bronze - $0",115,2024-05-19,2024-05-19
477572351,4694718,"2024-05-19 00:00:00",one_day,"Bronze - $0",115,2024-05-19,2024-05-19
477572351,4697247,"2024-05-19 00:00:00",one_day,"Bronze - $0",115,2024-05-19,2024-05-19
478013899,4187267,"2022-09-16 00:00:00",one_day,"One Day - $15",47,2022-09-16,2022-09-17
478013899,4221745,"2022-09-16 00:00:00",one_day,"One Day - $15",47,2022-09-16,2022-09-17
478099056,4695027,"2024-05-19 00:00:00",one_day,"Bronze - $0",115,2024-05-19,2024-05-19
478099056,4697557,"2024-05-19 00:00:00",one_day,"Bronze - $0",115,2024-05-19,2024-05-19
478838632,4539157,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
478838632,4544422,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
478855293,4694765,"2024-05-19 00:00:00",one_day,"Bronze - $0",115,2024-05-19,2024-05-19
478855293,4697294,"2024-05-19 00:00:00",one_day,"Bronze - $0",115,2024-05-19,2024-05-19
478979018,4538909,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
478979018,4548290,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
479145710,4539379,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
479145710,4544553,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
479644620,3958184,"2022-08-20 00:00:00",one_day,"One Day - $15",47,2022-08-20,2022-08-21
479644620,3982548,"2022-08-20 00:00:00",one_day,"One Day - $15",47,2022-08-20,2022-08-21
479945839,3958353,"2022-04-03 00:00:00",one_day,"One Day - $15",47,2022-04-03,2022-04-03
479945839,3982655,"2022-04-03 00:00:00",one_day,"One Day - $15",47,2022-04-03,2022-04-03
480232845,3956782,"2022-07-03 00:00:00",one_day,"One Day - $15",47,2022-07-03,2022-07-04
480232845,3981507,"2022-07-03 00:00:00",one_day,"One Day - $15",47,2022-07-03,2022-07-04
480545496,4551419,"2023-10-01 00:00:00",one_day,"One Day - $15",47,2023-10-01,2023-10-01
480545496,4551627,"2023-10-01 00:00:00",one_day,"One Day - $15",47,2023-10-01,2023-10-01
480612752,3958519,"2022-05-14 00:00:00",one_day,"One Day - $15",47,2022-05-14,2022-05-15
480612752,3982819,"2022-05-14 00:00:00",one_day,"One Day - $15",47,2022-05-14,2022-05-15
480743555,3957035,"2021-12-19 00:00:00",one_day,"One Day - $15",47,2021-12-19,2021-12-19
480743555,3981691,"2021-12-19 00:00:00",one_day,"One Day - $15",47,2021-12-19,2021-12-19
481027081,3956034,"2022-07-16 00:00:00",one_day,"One Day - $15",47,2022-07-16,2022-07-17
481027081,3967275,"2022-07-16 00:00:00",one_day,"One Day - $15",47,2022-07-16,2022-07-17
481392781,3958572,"2022-07-30 00:00:00",one_day,"One Day - $15",47,2022-07-30,2022-07-31
481392781,3982873,"2022-07-30 00:00:00",one_day,"One Day - $15",47,2022-07-30,2022-07-31
481451808,3957736,"2022-07-30 00:00:00",one_day,"One Day - $15",47,2022-07-30,2022-07-31
481451808,3982205,"2022-07-30 00:00:00",one_day,"One Day - $15",47,2022-07-30,2022-07-31
481533440,4539111,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
481533440,4544400,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
481596560,4694838,"2024-05-19 00:00:00",one_day,"Bronze - $0",115,2024-05-19,2024-05-19
481596560,4697367,"2024-05-19 00:00:00",one_day,"Bronze - $0",115,2024-05-19,2024-05-19
481644777,4539557,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
481644777,4544665,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
481965781,3956739,"2022-04-03 00:00:00",one_day,"One Day - $15",47,2022-04-03,2022-04-03
481965781,3981478,"2022-04-03 00:00:00",one_day,"One Day - $15",47,2022-04-03,2022-04-03
482151877,3671408,"2021-11-28 18:17:12",adult_annual,"1-Year $50",1,2022-11-28,2023-11-27
482151877,3671409,"2021-11-28 18:17:12",adult_annual,"1-Year $50",1,2022-11-28,2023-11-27
482163141,4459831,"2023-05-26 00:00:00",one_day,"One Day - $15",47,2023-05-26,2023-05-29
482163141,4460402,"2023-05-26 00:00:00",one_day,"One Day - $15",47,2023-05-26,2023-05-29
482696231,4551449,"2023-10-01 00:00:00",one_day,"One Day - $15",47,2023-10-01,2023-10-01
482696231,4551656,"2023-10-01 00:00:00",one_day,"One Day - $15",47,2023-10-01,2023-10-01
482767220,3707548,"2022-01-19 17:17:05",youth_annual,"Youth Annual",54,2022-01-19,2023-01-18
482767220,3707549,"2022-01-19 17:17:05",youth_annual,"Youth Annual",54,2022-01-19,2023-01-18
482914983,3957864,"2022-07-03 00:00:00",one_day,"One Day - $15",47,2022-07-03,2022-07-04
482914983,3982301,"2022-07-03 00:00:00",one_day,"One Day - $15",47,2022-07-03,2022-07-04
482951,4538725,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
482951,4548281,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
483680910,4694747,"2024-05-19 00:00:00",one_day,"Bronze - $0",115,2024-05-19,2024-05-19
483680910,4697276,"2024-05-19 00:00:00",one_day,"Bronze - $0",115,2024-05-19,2024-05-19
483724394,4539708,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
483724394,4544768,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
483812648,3957501,"2022-08-20 00:00:00",one_day,"One Day - $15",47,2022-08-20,2022-08-20
483812648,3966877,"2022-08-20 00:00:00",one_day,"One Day - $15",47,2022-08-20,2022-08-20
484292506,3957536,"2022-06-18 00:00:00",one_day,"One Day - $15",47,2022-06-18,2022-06-19
484292506,3982055,"2022-06-18 00:00:00",one_day,"One Day - $15",47,2022-06-18,2022-06-19
484596686,4539862,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
484596686,4542158,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
484847145,4401104,"2023-06-01 00:00:00",one_day,"One Day - $15",47,2023-06-01,2023-07-31
484847145,4407652,"2023-06-01 00:00:00",one_day,"One Day - $15",47,2023-06-01,2023-07-31
484847145,4429896,"2023-06-01 00:00:00",one_day,"One Day - $15",47,2023-06-01,2023-07-31
485179462,4402555,"2023-06-15 12:34:35",adult_annual,"1-Year $50",1,2023-06-15,2024-06-14
485179462,4402556,"2023-06-15 12:34:35",adult_annual,"1-Year $50",1,2023-06-15,2024-06-14
485594103,3956825,"2021-12-04 00:00:00",one_day,"One Day - $15",47,2021-12-04,2021-12-04
485594103,3981539,"2021-12-04 00:00:00",one_day,"One Day - $15",47,2021-12-04,2021-12-04
485873841,4538715,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
485873841,4544187,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
486415297,4695002,"2024-05-19 00:00:00",one_day,"Bronze - $0",115,2024-05-19,2024-05-19
486415297,4697532,"2024-05-19 00:00:00",one_day,"Bronze - $0",115,2024-05-19,2024-05-19
487006587,3958734,"2021-12-04 00:00:00",one_day,"One Day - $15",47,2021-12-04,2021-12-04
487006587,3983037,"2021-12-04 00:00:00",one_day,"One Day - $15",47,2021-12-04,2021-12-04
487186570,3641662,"2021-09-19 00:00:00",one_day,"One Day - $15",47,2021-09-19,2021-09-19
487186570,3957446,"2021-09-19 00:00:00",one_day,"One Day - $15",47,2021-09-19,2021-09-19
487186570,3981993,"2021-09-19 00:00:00",one_day,"One Day - $15",47,2021-09-19,2021-09-19
487548273,3956745,"2022-07-16 00:00:00",one_day,"One Day - $15",47,2022-07-16,2022-07-17
487548273,3967602,"2022-07-16 00:00:00",one_day,"One Day - $15",47,2022-07-16,2022-07-17
487908759,3958202,"2022-08-20 00:00:00",one_day,"One Day - $15",47,2022-08-20,2022-08-21
487908759,3982562,"2022-08-20 00:00:00",one_day,"One Day - $15",47,2022-08-20,2022-08-21
488356864,4539172,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
488356864,4544434,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
489149272,4459730,"2023-05-26 00:00:00",one_day,"One Day - $15",47,2023-05-26,2023-05-29
489149272,4460302,"2023-05-26 00:00:00",one_day,"One Day - $15",47,2023-05-26,2023-05-29
489392007,4423343,"2023-07-09 18:04:03",one_day,"One Day - $15",47,2023-07-16,2023-07-16
489392007,4423344,"2023-07-09 18:04:03",one_day,"One Day - $15",47,2023-07-16,2023-07-16
489684200,3957897,"2022-07-16 00:00:00",one_day,"One Day - $15",47,2022-07-16,2022-07-17
489684200,3982327,"2022-07-16 00:00:00",one_day,"One Day - $15",47,2022-07-16,2022-07-17
489719028,3958455,"2021-11-14 00:00:00",one_day,"One Day - $15",47,2021-11-14,2021-11-14
489719028,3982756,"2021-11-14 00:00:00",one_day,"One Day - $15",47,2021-11-14,2021-11-14
489913969,4459740,"2023-05-26 00:00:00",one_day,"One Day - $15",47,2023-05-26,2023-05-29
489913969,4460312,"2023-05-26 00:00:00",one_day,"One Day - $15",47,2023-05-26,2023-05-29
490217408,4539253,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
