purchased_on_mp,member_number_members_sa,id_membership_periods_sa,starts_mp,ends_mp
"2022-03-06 06:00:00",218060520,3958912,2022-03-06,2022-03-06
"2022-03-06 06:00:00",218060520,3983217,2022-03-06,2022-03-06
"2022-03-06 06:00:00",219985526,3957648,2022-03-06,2022-03-06
"2022-03-06 06:00:00",219985526,3982139,2022-03-06,2022-03-06
"2022-03-06 06:00:00",228568466,3956799,2022-03-06,2022-03-06
"2022-03-06 06:00:00",228568466,3981520,2022-03-06,2022-03-06
"2022-03-06 06:00:00",233062574,3958501,2022-03-06,2022-03-06
"2022-03-06 06:00:00",233062574,3982801,2022-03-06,2022-03-06
"2022-03-06 06:00:00",234834444,3958029,2022-03-06,2022-03-06
"2022-03-06 06:00:00",234834444,3982427,2022-03-06,2022-03-06
"2022-03-06 06:00:00",235760236,3957043,2022-03-06,2022-03-06
"2022-03-06 06:00:00",235760236,3981697,2022-03-06,2022-03-06
"2022-03-06 06:00:00",237453765,3958428,2022-03-06,2022-03-06
"2022-03-06 06:00:00",237453765,3982729,2022-03-06,2022-03-06
"2022-03-06 06:00:00",239503108,3957925,2022-03-06,2022-03-06
"2022-03-06 06:00:00",239503108,3982347,2022-03-06,2022-03-06
"2022-03-06 06:00:00",248134169,3957334,2022-03-06,2022-03-06
"2022-03-06 06:00:00",248134169,3981910,2022-03-06,2022-03-06
"2022-03-06 06:00:00",249047638,3958972,2022-03-06,2022-03-06
"2022-03-06 06:00:00",249047638,3983277,2022-03-06,2022-03-06
"2022-03-06 06:00:00",254158908,3958699,2022-03-06,2022-03-06
"2022-03-06 06:00:00",254158908,3983002,2022-03-06,2022-03-06
"2022-03-06 06:00:00",268099820,3956866,2022-03-06,2022-03-06
"2022-03-06 06:00:00",268099820,3981568,2022-03-06,2022-03-06
"2022-03-06 06:00:00",272289066,3957321,2022-03-06,2022-03-06
"2022-03-06 06:00:00",272289066,3981903,2022-03-06,2022-03-06
"2022-03-06 06:00:00",292035276,3956820,2022-03-06,2022-03-06
"2022-03-06 06:00:00",292035276,3981535,2022-03-06,2022-03-06
"2022-03-06 06:00:00",299159612,3957246,2022-03-06,2022-03-06
"2022-03-06 06:00:00",299159612,3981848,2022-03-06,2022-03-06
"2022-03-06 06:00:00",301336201,3958265,2022-03-06,2022-03-06
"2022-03-06 06:00:00",301336201,3982604,2022-03-06,2022-03-06
"2022-03-06 06:00:00",305155321,3958101,2022-03-06,2022-03-06
"2022-03-06 06:00:00",305155321,3982483,2022-03-06,2022-03-06
"2022-03-06 06:00:00",311564999,3957740,2022-03-06,2022-03-06
"2022-03-06 06:00:00",311564999,3982208,2022-03-06,2022-03-06
"2022-03-06 06:00:00",313090548,3956786,2022-03-06,2022-03-06
"2022-03-06 06:00:00",313090548,3981511,2022-03-06,2022-03-06
"2022-03-06 06:00:00",316431332,3958107,2022-03-06,2022-03-06
"2022-03-06 06:00:00",316431332,3982487,2022-03-06,2022-03-06
"2022-03-06 06:00:00",318883272,3957612,2022-03-06,2022-03-06
"2022-03-06 06:00:00",318883272,3982112,2022-03-06,2022-03-06
"2022-03-06 06:00:00",327668010,3958461,2022-03-06,2022-03-06
"2022-03-06 06:00:00",327668010,3982762,2022-03-06,2022-03-06
"2022-03-06 06:00:00",330323570,3957585,2022-03-06,2022-03-06
"2022-03-06 06:00:00",330323570,3982092,2022-03-06,2022-03-06
"2022-03-06 06:00:00",336923475,3957021,2022-03-06,2022-03-06
"2022-03-06 06:00:00",336923475,3981680,2022-03-06,2022-03-06
"2022-03-06 06:00:00",337339908,3957669,2022-03-06,2022-03-06
"2022-03-06 06:00:00",337339908,3982154,2022-03-06,2022-03-06
"2022-03-06 06:00:00",345299848,3957581,2022-03-06,2022-03-06
"2022-03-06 06:00:00",345299848,3982089,2022-03-06,2022-03-06
"2022-03-06 06:00:00",347663760,3958744,2022-03-06,2022-03-06
"2022-03-06 06:00:00",347663760,3983047,2022-03-06,2022-03-06
"2022-03-06 06:00:00",348181131,3958137,2022-03-06,2022-03-06
"2022-03-06 06:00:00",348181131,3982511,2022-03-06,2022-03-06
"2022-03-06 06:00:00",350644420,3958388,2022-03-06,2022-03-06
"2022-03-06 06:00:00",350644420,3982690,2022-03-06,2022-03-06
"2022-03-06 06:00:00",366827765,3957348,2022-03-06,2022-03-06
"2022-03-06 06:00:00",366827765,3981918,2022-03-06,2022-03-06
"2022-03-06 06:00:00",373014786,3958966,2022-03-06,2022-03-06
"2022-03-06 06:00:00",373014786,3983271,2022-03-06,2022-03-06
"2022-03-06 06:00:00",373639373,3958679,2022-03-06,2022-03-06
"2022-03-06 06:00:00",373639373,3982982,2022-03-06,2022-03-06
"2022-03-06 06:00:00",376743483,3956960,2022-03-06,2022-03-06
"2022-03-06 06:00:00",376743483,3981635,2022-03-06,2022-03-06
"2022-03-06 06:00:00",399385113,3957643,2022-03-06,2022-03-06
"2022-03-06 06:00:00",399385113,3982136,2022-03-06,2022-03-06
"2022-03-06 06:00:00",410840798,3959008,2022-03-06,2022-03-06
"2022-03-06 06:00:00",410840798,3983313,2022-03-06,2022-03-06
"2022-03-06 06:00:00",414552648,3958608,2022-03-06,2022-03-06
"2022-03-06 06:00:00",414552648,3982910,2022-03-06,2022-03-06
"2022-03-06 06:00:00",415045378,3956779,2022-03-06,2022-03-06
"2022-03-06 06:00:00",415045378,3981505,2022-03-06,2022-03-06
"2022-03-06 06:00:00",423691852,3958442,2022-03-06,2022-03-06
"2022-03-06 06:00:00",423691852,3982743,2022-03-06,2022-03-06
"2022-03-06 06:00:00",434614617,3958595,2022-03-06,2022-03-06
"2022-03-06 06:00:00",434614617,3982897,2022-03-06,2022-03-06
"2022-03-06 06:00:00",438961079,3956881,2022-03-06,2022-03-06
"2022-03-06 06:00:00",438961079,3981580,2022-03-06,2022-03-06
"2022-03-06 06:00:00",457424238,3957280,2022-03-06,2022-03-06
"2022-03-06 06:00:00",457424238,3981873,2022-03-06,2022-03-06
"2022-03-06 06:00:00",461124724,3958892,2022-03-06,2022-03-06
"2022-03-06 06:00:00",461124724,3983197,2022-03-06,2022-03-06
"2022-03-06 06:00:00",463486382,3958248,2022-03-06,2022-03-06
"2022-03-06 06:00:00",463486382,3982594,2022-03-06,2022-03-06
"2022-03-06 06:00:00",468299628,3957104,2022-03-06,2022-03-06
"2022-03-06 06:00:00",468299628,3981742,2022-03-06,2022-03-06
"2022-03-06 06:00:00",490830291,3956998,2022-03-06,2022-03-06
"2022-03-06 06:00:00",490830291,3981663,2022-03-06,2022-03-06
"2022-03-06 06:00:00",495810,3957325,2022-03-06,2022-03-06
"2022-03-06 06:00:00",495810,3981905,2022-03-06,2022-03-06
"2022-03-06 06:00:00",499612216,3956840,2022-03-06,2022-03-06
"2022-03-06 06:00:00",499612216,3981550,2022-03-06,2022-03-06
"2022-03-06 06:00:00",522257752,3958737,2022-03-06,2022-03-06
"2022-03-06 06:00:00",522257752,3983040,2022-03-06,2022-03-06
"2022-03-06 06:00:00",525129359,3956970,2022-03-06,2022-03-06
"2022-03-06 06:00:00",525129359,3981643,2022-03-06,2022-03-06
"2022-03-06 06:00:00",526412563,3958171,2022-03-06,2022-03-06
"2022-03-06 06:00:00",526412563,3982538,2022-03-06,2022-03-06
"2022-03-06 06:00:00",533551756,3956858,2022-03-06,2022-03-06
"2022-03-06 06:00:00",533551756,3981563,2022-03-06,2022-03-06
"2022-03-06 06:00:00",544063738,3958901,2022-03-06,2022-03-06
"2022-03-06 06:00:00",544063738,3983206,2022-03-06,2022-03-06
"2022-03-06 06:00:00",553389393,3959004,2022-03-06,2022-03-06
"2022-03-06 06:00:00",553389393,3983309,2022-03-06,2022-03-06
"2022-03-06 06:00:00",567897736,3958377,2022-03-06,2022-03-06
"2022-03-06 06:00:00",567897736,3982679,2022-03-06,2022-03-06
"2022-03-06 06:00:00",574942365,3957584,2022-03-06,2022-03-06
"2022-03-06 06:00:00",574942365,3982091,2022-03-06,2022-03-06
"2022-03-06 06:00:00",577733011,3957200,2022-03-06,2022-03-06
"2022-03-06 06:00:00",577733011,3981814,2022-03-06,2022-03-06
"2022-03-06 06:00:00",579135399,3958214,2022-03-06,2022-03-06
"2022-03-06 06:00:00",579135399,3982574,2022-03-06,2022-03-06
"2022-03-06 06:00:00",581845374,3956978,2022-03-06,2022-03-06
"2022-03-06 06:00:00",581845374,3981648,2022-03-06,2022-03-06
"2022-03-06 06:00:00",583420319,3957732,2022-03-06,2022-03-06
"2022-03-06 06:00:00",583420319,3982203,2022-03-06,2022-03-06
"2022-03-06 06:00:00",585659403,3958028,2022-03-06,2022-03-06
"2022-03-06 06:00:00",585659403,3982426,2022-03-06,2022-03-06
"2022-03-06 06:00:00",592008001,3958841,2022-03-06,2022-03-06
"2022-03-06 06:00:00",592008001,3983146,2022-03-06,2022-03-06
"2022-03-06 06:00:00",602122712,3958493,2022-03-06,2022-03-06
"2022-03-06 06:00:00",602122712,3982793,2022-03-06,2022-03-06
"2022-03-06 06:00:00",602371704,3958429,2022-03-06,2022-03-06
"2022-03-06 06:00:00",602371704,3982730,2022-03-06,2022-03-06
"2022-03-06 06:00:00",607796779,3958167,2022-03-06,2022-03-06
"2022-03-06 06:00:00",607796779,3982535,2022-03-06,2022-03-06
"2022-03-06 06:00:00",623073463,3957490,2022-03-06,2022-03-06
"2022-03-06 06:00:00",623073463,3982025,2022-03-06,2022-03-06
"2022-03-06 06:00:00",623663985,3958300,2022-03-06,2022-03-06
"2022-03-06 06:00:00",623663985,3982622,2022-03-06,2022-03-06
"2022-03-06 06:00:00",624583247,3956755,2022-03-06,2022-03-06
"2022-03-06 06:00:00",624583247,3981489,2022-03-06,2022-03-06
"2022-03-06 06:00:00",648405085,3958188,2022-03-06,2022-03-06
"2022-03-06 06:00:00",648405085,3982551,2022-03-06,2022-03-06
"2022-03-06 06:00:00",648540082,3957637,2022-03-06,2022-03-06
"2022-03-06 06:00:00",648540082,3982131,2022-03-06,2022-03-06
"2022-03-06 06:00:00",649955935,3957278,2022-03-06,2022-03-06
"2022-03-06 06:00:00",649955935,3981871,2022-03-06,2022-03-06
"2022-03-06 06:00:00",655715712,3957111,2022-03-06,2022-03-06
"2022-03-06 06:00:00",655715712,3981748,2022-03-06,2022-03-06
"2022-03-06 06:00:00",658273750,3958550,2022-03-06,2022-03-06
"2022-03-06 06:00:00",658273750,3982851,2022-03-06,2022-03-06
"2022-03-06 06:00:00",662173255,3957810,2022-03-06,2022-03-06
"2022-03-06 06:00:00",662173255,3982261,2022-03-06,2022-03-06
"2022-03-06 06:00:00",665059505,3957632,2022-03-06,2022-03-06
"2022-03-06 06:00:00",665059505,3982128,2022-03-06,2022-03-06
"2022-03-06 06:00:00",675442886,3957459,2022-03-06,2022-03-06
"2022-03-06 06:00:00",675442886,3982003,2022-03-06,2022-03-06
"2022-03-06 06:00:00",677937582,3958480,2022-03-06,2022-03-06
"2022-03-06 06:00:00",677937582,3982780,2022-03-06,2022-03-06
"2022-03-06 06:00:00",681070360,3958485,2022-03-06,2022-03-06
"2022-03-06 06:00:00",681070360,3982785,2022-03-06,2022-03-06
"2022-03-06 06:00:00",681466039,3958790,2022-03-06,2022-03-06
"2022-03-06 06:00:00",681466039,3983094,2022-03-06,2022-03-06
"2022-03-06 06:00:00",683318300,3957958,2022-03-06,2022-03-06
"2022-03-06 06:00:00",683318300,3982373,2022-03-06,2022-03-06
"2022-03-06 06:00:00",686958670,3957175,2022-03-06,2022-03-06
"2022-03-06 06:00:00",686958670,3981795,2022-03-06,2022-03-06
"2022-03-06 06:00:00",687565646,3958775,2022-03-06,2022-03-06
"2022-03-06 06:00:00",687565646,3983079,2022-03-06,2022-03-06
"2022-03-06 06:00:00",688039778,3957548,2022-03-06,2022-03-06
"2022-03-06 06:00:00",688039778,3982064,2022-03-06,2022-03-06
"2022-03-06 06:00:00",691896328,3957474,2022-03-06,2022-03-06
"2022-03-06 06:00:00",691896328,3982014,2022-03-06,2022-03-06
"2022-03-06 06:00:00",700171982,3956939,2022-03-06,2022-03-06
"2022-03-06 06:00:00",700171982,3981620,2022-03-06,2022-03-06
"2022-03-06 06:00:00",700527950,3957695,2022-03-06,2022-03-06
"2022-03-06 06:00:00",700527950,3982174,2022-03-06,2022-03-06
"2022-03-06 06:00:00",705501044,3957493,2022-03-06,2022-03-06
"2022-03-06 06:00:00",705501044,3982027,2022-03-06,2022-03-06
"2022-03-06 06:00:00",705568082,3957753,2022-03-06,2022-03-06
"2022-03-06 06:00:00",705568082,3982218,2022-03-06,2022-03-06
"2022-03-06 06:00:00",708483434,3956769,2022-03-06,2022-03-06
"2022-03-06 06:00:00",708483434,3981498,2022-03-06,2022-03-06
"2022-03-06 06:00:00",709574167,3957553,2022-03-06,2022-03-06
"2022-03-06 06:00:00",709574167,3982067,2022-03-06,2022-03-06
"2022-03-06 06:00:00",719152698,3957819,2022-03-06,2022-03-06
"2022-03-06 06:00:00",719152698,3982268,2022-03-06,2022-03-06
"2022-03-06 06:00:00",724760431,3958292,2022-03-06,2022-03-06
"2022-03-06 06:00:00",724760431,3982618,2022-03-06,2022-03-06
"2022-03-06 06:00:00",726268056,3958689,2022-03-06,2022-03-06
"2022-03-06 06:00:00",726268056,3982992,2022-03-06,2022-03-06
"2022-03-06 06:00:00",730251939,3957316,2022-03-06,2022-03-06
"2022-03-06 06:00:00",730251939,3981900,2022-03-06,2022-03-06
"2022-03-06 06:00:00",731600285,3957018,2022-03-06,2022-03-06
"2022-03-06 06:00:00",731600285,3981678,2022-03-06,2022-03-06
"2022-03-06 06:00:00",736244035,3957843,2022-03-06,2022-03-06
"2022-03-06 06:00:00",736244035,3982286,2022-03-06,2022-03-06
"2022-03-06 06:00:00",737568382,3958364,2022-03-06,2022-03-06
"2022-03-06 06:00:00",737568382,3982666,2022-03-06,2022-03-06
"2022-03-06 06:00:00",738824295,3958489,2022-03-06,2022-03-06
"2022-03-06 06:00:00",738824295,3982789,2022-03-06,2022-03-06
"2022-03-06 06:00:00",740181772,3956836,2022-03-06,2022-03-06
"2022-03-06 06:00:00",740181772,3981547,2022-03-06,2022-03-06
"2022-03-06 06:00:00",740899237,3958871,2022-03-06,2022-03-06
"2022-03-06 06:00:00",740899237,3983176,2022-03-06,2022-03-06
"2022-03-06 06:00:00",744525586,3957061,2022-03-06,2022-03-06
"2022-03-06 06:00:00",744525586,3981710,2022-03-06,2022-03-06
"2022-03-06 06:00:00",747630726,3958511,2022-03-06,2022-03-06
"2022-03-06 06:00:00",747630726,3982811,2022-03-06,2022-03-06
"2022-03-06 06:00:00",749968230,3958408,2022-03-06,2022-03-06
"2022-03-06 06:00:00",749968230,3980957,2022-03-06,2022-03-06
"2022-03-06 06:00:00",758877650,3957422,2022-03-06,2022-03-06
"2022-03-06 06:00:00",758877650,3981975,2022-03-06,2022-03-06
"2022-03-06 06:00:00",761533949,3958808,2022-03-06,2022-03-06
"2022-03-06 06:00:00",761533949,3983111,2022-03-06,2022-03-06
"2022-03-06 06:00:00",764512069,3958764,2022-03-06,2022-03-06
"2022-03-06 06:00:00",764512069,3983067,2022-03-06,2022-03-06
"2022-03-06 06:00:00",764952479,3957801,2022-03-06,2022-03-06
"2022-03-06 06:00:00",764952479,3982254,2022-03-06,2022-03-06
"2022-03-06 06:00:00",767176464,3957062,2022-03-06,2022-03-06
"2022-03-06 06:00:00",767176464,3981711,2022-03-06,2022-03-06
"2022-03-06 06:00:00",767550833,3958577,2022-03-06,2022-03-06
"2022-03-06 06:00:00",767550833,3982878,2022-03-06,2022-03-06
"2022-03-06 06:00:00",767847256,3958416,2022-03-06,2022-03-06
